category,metric_key,metric_label,direction,best_condition,best_value,prompt_type,experiment_track
综合,PQI_mean,生产质量指数 PQI,越高越好,C_D0,97.13,结构化全量（生产版）,系统方法对比
质量,Re_disciplined_micro,校准证据召回 Re*,越高越好,P3_D0,0.9601,CoT Prompt,提示词工程阶梯
质量,evidence_calibration_mean,证据条数校准分,越高越好,P4_D0,1.0,Few-shot Prompt,提示词工程阶梯
质量,Re_assist_micro,证据召回率 Re,越高越好,BASELINE_D0,0.9933,普通Prompt,提示词工程阶梯
质量,responsibility_consistency,责任一致率,越高越好,A_D0,1.0,模板生成（系统方法）,系统方法对比
质量,Ef_assist_micro,事实错误率,越低越好,BASELINE_D0,0.0412,普通Prompt,提示词工程阶梯
质量,fact_consistency_rate,事实一致率(1-Ef),越高越好,BASELINE_D0,0.9588,普通Prompt,提示词工程阶梯
质量,readability_mean,可读性/5,越高越好,C_D0,5.0,结构化全量（生产版）,系统方法对比
质量,structured_compliance_mean,结构化规范符合度,越高越好,C_D0,1.0,结构化全量（生产版）,系统方法对比
质量,field_completeness_rate,九字段齐全率,越高越好,C_D0,1.0,结构化全量（生产版）,系统方法对比
质量,confidence_present_rate,置信度说明覆盖率,越高越好,C_D0,1.0,结构化全量（生产版）,系统方法对比
质量,evidence_count_mean,证据条数均值,越高越好,P1_D0,7.5,Role Prompt,提示词工程阶梯
质量,evidence_fill_ratio_mean,证据条数/金标准比(参考),越高越好,P1_D0,1.25,Role Prompt,提示词工程阶梯
质量,derived_signal_recall_mean,派生信号关键词召回,越高越好,BASELINE_D0,0.98,普通Prompt,提示词工程阶梯
质量,rawText_non_overlap_mean,rawText增量非重复率,越高越好,P6_D0,0.998,增量语义 Prompt,提示词工程阶梯
质量,analysis_depth_chars_mean,分析+复盘字符深度,越高越好,P3_D0,530.52,CoT Prompt,提示词工程阶梯
质量,suggestion_count_mean,建议条数均值,越高越好,P3_D0,4.98,CoT Prompt,提示词工程阶梯
综合,QI_mean,综合质量指数 QI,越高越好,BASELINE_D0,98.2494,普通Prompt,提示词工程阶梯
综合,VQI_mean,性价比 VQI,越高越好,B_D0,82.8,通用大模型（系统方法）,系统方法对比
综合,Re_per_1k_tokens,每千Token证据召回,越高越好,BASELINE_D0,0.3754,普通Prompt,提示词工程阶梯
综合,QI_per_1k_tokens,每千Token质量分,越高越好,B_D0,82.8045,通用大模型（系统方法）,系统方法对比
稳定,success_rate,解析成功率,越高越好,A_D0,1.0,模板生成（系统方法）,系统方法对比
稳定,retry_rate,JSON重试率,越低越好,A_D0,0.0,模板生成（系统方法）,系统方法对比
效率,latency_ms_mean,平均延迟ms,越低越好,B_D0,3135.514,通用大模型（系统方法）,系统方法对比
效率,total_tokens_mean,平均总Token,越低越好,B_D0,342.24,通用大模型（系统方法）,系统方法对比
效率,tokens_per_evidence_hit,每命中1证据Token,越低越好,BASELINE_D0,444.0,普通Prompt,提示词工程阶梯
效率,completion_to_prompt_ratio,输出/输入Token比,越高越好,A_D0,2.8932,模板生成（系统方法）,系统方法对比
