| S01 | `EXP-20260518-001` | `COLLISION` | 碰撞/接触 | 追尾碰撞（跟车过近） | 同上 |
| S02 | `EXP-20260518-002` | `COLLISION` | 碰撞/接触 | 侧向刮擦（变道冲突） | 同上 |
| S03 | `EXP-20260518-003` | `COLLISION` | 碰撞/接触 | 静止障碍碰撞 | 同上 |
| S04 | `EXP-20260518-004` | `COLLISION` | 碰撞/接触 | 倒车碰撞非机动车 | 同上 |
| S05 | `EXP-20260518-005` | `COLLISION` | 碰撞/接触 | 环岛内连环碰撞 | 同上 |
| S06 | `EXP-20260518-006` | `COLLISION` | 碰撞/接触 | 匝道末端减速不及 | 同上 |
| S07 | `EXP-20260518-007` | `COLLISION` | 碰撞/接触 | 隧道内低速追尾 | 同上 |
| S08 | `EXP-20260518-008` | `AUTOPILOT_FAULT` | 自动驾驶故障 | NOA 异常退出未提示 | 同上 |
| S09 | `EXP-20260518-009` | `AUTOPILOT_FAULT` | 自动驾驶故障 | 横向控制振荡诱发偏离 | 同上 |
| S10 | `EXP-20260518-010` | `AUTOPILOT_FAULT` | 自动驾驶故障 | 感知误检导致误制动 | 同上 |
| S11 | `EXP-20260518-011` | `AUTOPILOT_FAULT` | 自动驾驶故障 | 规划轨迹突变 | 同上 |
| S12 | `EXP-20260518-012` | `AUTOPILOT_FAULT` | 自动驾驶故障 | 传感器融合短时失效 | 同上 |
| S13 | `EXP-20260518-013` | `AUTOPILOT_FAULT` | 自动驾驶故障 | 接管请求延迟 | 同上 |
| S14 | `EXP-20260518-014` | `DRIVER_SLOW_REACTION` | 驾驶员反应不足 | 前车急刹反应滞后 | 同上 |
| S15 | `EXP-20260518-015` | `DRIVER_SLOW_REACTION` | 驾驶员反应不足 | 夜间眩光下制动偏晚 | 同上 |
| S16 | `EXP-20260518-016` | `DRIVER_SLOW_REACTION` | 驾驶员反应不足 | 分心使用手机 | 同上 |
| S17 | `EXP-20260518-017` | `DRIVER_SLOW_REACTION` | 驾驶员反应不足 | 跟车距离过近 | 同上 |
